"issueId";0;"issueTypeCode"
856827;"O_HU01";"O_HU01"
859750;"O_CR02";"O_CR06"
859752;"O_CR02";"O_CR06"
860401;"O_CO08";"D_4F01"
860856;"O_CR01";"O_CR01"
861602;"O_CO02";"O_CO02"
861696;"O_CR06";"O_CR06"
861704;"O_CR06";"O_CR06"
861728;"O_HU01";"O_HU01"
862047;"O_HU01";"O_HU01"
862162;"O_CO03";"O_CO03"
862169;"O_CO03";"O_CO03"
862247;"O_CO08";"O_CO08"
864822;"O_CO02";"O_CO03"
864825;"O_CO02";"O_CO03"
865335;"D_4F01";"D_4F01"
866668;"O_CO08";"O_CO08"
866776;"O_CO02";"O_CO02"
866786;"O_CR06";"O_CR06"
867475;"S_CO03";"S_CO03"
867695;"O_CR06";"O_CR06"
867878;"D_4F01";"D_4F01"
868352;"S_CO04";"S_CO04"
869316;"O_CO01";"O_CO01"
870103;"O_CR01";"O_CR01"
870126;"O_CR01";"O_CR01"
870230;"R_4F01";"R_4F01"
870241;"O_CR09";"O_CR09"
870242;"O_CR01";"O_CR01"
870833;"O_CO04";"O_CR06"
871438;"O_CR01";"O_CR01"
871488;"O_RE03";"O_RE03"
872052;"O_CO06";"O_CO06"
872211;"O_CO03";"O_CO02"
874923;"O_CO02";"O_CO02"
875353;"D_4F01";"D_4F01"
875649;"O_CR01";"O_CO01"
875727;"O_HU01";"O_HU01"
875766;"O_CO06";"O_CO06"
875848;"O_RE03";"O_RE03"
875965;"O_CR01";"O_CR01"
875966;"O_CR01";"O_CR01"
878544;"D_4F01";"D_4F01"
879173;"O_CO08";"O_CO08"
879638;"O_CO08";"O_CR01"
887093;"O_CO02";"O_CO03"
887100;"O_CO02";"O_CO03"
887110;"O_CO02";"O_CO03"
887128;"O_CO02";"O_CO02"
887135;"O_CO02";"O_CO02"
887194;"O_CO02";"O_CO02"
887202;"O_CO02";"O_CO02"
887238;"O_CO02";"O_CO02"
887251;"O_CO02";"O_CO02"
888490;"D_4F01";"D_4F01"
888491;"D_4F01";"D_4F01"
888494;"D_4F01";"D_4F01"
890846;"O_CO02";"O_CO02"
891059;"O_CO06";"O_CO06"
891543;"O_CO06";"O_CO06"
891584;"O_CO08";"O_CO08"
891617;"D_4F01";"D_4F01"
891729;"O_CO08";"O_CO08"
891730;"O_CO08";"O_CO08"
892596;"R_4F07";"R_4F07"
892759;"S_CO03";"S_CO03"
893494;"O_CO08";"O_CO08"
893994;"O_CO01";"O_CO01"
898971;"O_CR02";"O_CR02"
899311;"O_CR07";"O_RE02"
899314;"O_CO08";"O_CO08"
899585;"S_CO04";"S_CO04"
900697;"O_CO02";"O_CO02"
900699;"O_CO02";"O_CO02"
900701;"O_CO02";"O_CO02"
900702;"O_CO02";"O_CO02"
900703;"O_CO02";"O_CO02"
901253;"D_4F01";"D_4F01"
901254;"D_4F01";"D_4F01"
912436;"O_CO06";"O_CO06"
915694;"D_4F01";"D_4F01"
917425;"O_CR02";"O_CR03"
917563;"D_4F01";"O_CR07"
917573;"D_4F01";"D_4F01"
917717;"O_CR07";"O_HU03"
918697;"O_CO02";"O_CO02"
918747;"R_4F04";"O_CR07"
918856;"D_4F01";"D_4F01"
918860;"D_4F01";"D_4F01"
918976;"O_CO01";"O_CO01"
918991;"O_CO01";"O_CO01"
919020;"S_CO04";"S_CO04"
919126;"D_4F01";"D_4F01"
925526;"O_CR06";"O_CR06"
926447;"O_CR06";"O_CR06"
926454;"O_CR06";"O_CR06"
926699;"O_CR06";"O_CR06"
926823;"O_CO06";"O_CO06"
927125;"O_CR01";"O_CR01"
927127;"O_CR01";"O_CR02"
927480;"O_CO08";"O_CO08"
927482;"O_CO08";"O_CO08"
927486;"O_CO08";"D_4F01"
927840;"O_CO02";"O_CO02"
927841;"O_CO02";"O_CO02"
927849;"O_CO03";"O_CO02"
927851;"O_CO03";"O_CO02"
927852;"O_CO03";"O_CO02"
927853;"O_CO03";"O_CO02"
927857;"O_CO03";"O_CO02"
927858;"O_CO03";"O_CO02"
928586;"D_4F01";"D_4F01"
928587;"D_4F01";"D_4F01"
930228;"D_4F01";"D_4F01"
930358;"O_CR02";"O_CR01"
930648;"D_4F01";"D_4F01"
930651;"O_CR02";"O_CR02"
930873;"O_CO01";"O_CO01"
931567;"D_4F01";"D_4F01"
931696;"O_CR01";"R_4F09"
931793;"O_CR06";"O_CR06"
931862;"O_CO01";"O_CO01"
932456;"O_CO08";"O_CO04"
932753;"O_CR09";"O_CR09"
934181;"O_CO03";"O_CO03"
938376;"O_CR11";"R_4F05"
939022;"O_CR02";"O_CR06"
939228;"O_CO06";"O_CO06"
939410;"O_CO08";"O_CO08"
939420;"R_4F09";"O_CO08"
939804;"O_CO02";"O_CO02"
939807;"O_CO02";"O_CO02"
939808;"O_CO02";"O_CO02"
940016;"D_4F01";"D_4F01"
942482;"O_CR07";"O_CR07"
942510;"S_CO03";"S_CO03"
942535;"O_RE03";"O_RE03"
942607;"O_CR07";"O_CR06"
942649;"O_CR01";"O_CR02"
942785;"O_CO03";"O_CO03"
943099;"O_CO06";"O_CO06"
943184;"S_CO01";"S_CO01"
943931;"O_CO01";"O_CO01"
945132;"O_CO08";"O_CO08"
945177;"O_CO07";"O_CO07"
945337;"O_HU01";"R_4F07"
945452;"D_4F01";"O_CR06"
948084;"D_4F01";"R_4F09"
948735;"O_CO03";"O_CO03"
949757;"D_4F01";"D_4F01"
949776;"O_CR01";"O_CR02"
